,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
31179,54039919,Lovely Private room right above prospect park,341908723,Aleph,Brooklyn,Crown Heights,40.67671,-73.95877,Private room,55,30,0,,,53,76,0,,11238
31180,54040139,Bright Oasis near City/Trains/Hospitals With W/D,437920425,Krystle,Brooklyn,Bedford-Stuyvesant,40.69096,-73.93712,Entire home/apt,206,3,26,2022-08-16,3.13,3,185,26,,11221
31181,54041355,Entire DUPLEX Townhouse apartment w/ private yard,45097961,Marlowe,Brooklyn,Greenpoint,40.72787,-73.95582,Entire home/apt,498,3,1,2022-03-13,0.17,3,0,1,,11222
31184,54048976,Prime location Williamsburg 1 bedroom,235676280,Ugur And Jayme,Brooklyn,Williamsburg,40.7066,-73.96578,Private room,136,20,2,2022-07-02,0.5,2,331,2,,11249
31185,54050236,Lovely room in Greenpoint Duplex,4483467,Daniel,Brooklyn,Greenpoint,40.73161,-73.95412,Private room,95,3,2,2022-06-14,0.67,5,36,2,,11222
31189,53993613,2 Bedroom luxury house available In Bergen Beach,345196808,Zeeshan,Brooklyn,Bergen Beach,40.61881,-73.90066,Entire home/apt,165,2,12,2022-09-05,1.68,1,333,12,,11234
31194,53997433,No smoking/Vaping elegant 2 bedroom BK Apartment!,397163059,Jean Lucien,Brooklyn,East Flatbush,40.63708,-73.93574,Entire home/apt,100,3,34,2022-09-05,4.06,1,68,34,,11203
31196,54110825,Entire 1 bedroom apartment in Bed-Stuy,28055322,Veronika,Brooklyn,Bedford-Stuyvesant,40.68967,-73.94568,Entire home/apt,200,6,16,2022-08-09,1.98,2,119,16,,11221
31203,54001498,Cozy 2-bedroom apartment in Mill Basin,7110202,Ruben,Brooklyn,Mill Basin,40.61264,-73.91791,Entire home/apt,132,2,26,2022-08-31,3.12,1,319,26,,11234
31204,54111106,"Colorful, Sunny and Spacious Brooklyn Apartment",12261612,Sarah,Brooklyn,Greenpoint,40.72317,-73.94553,Entire home/apt,200,4,8,2022-07-25,1.08,1,3,8,,11222
31206,54111621,Mediterranean Staycation w/ Private Balcony,400891981,Cydia,Brooklyn,East New York,40.65252,-73.88448,Entire home/apt,200,2,33,2022-09-04,4.34,1,166,33,,11239
31207,54112545,Chic Brooklyn (Bed Stuy) Brownstone Apt,11301766,Eric,Brooklyn,Bedford-Stuyvesant,40.689915,-73.949142,Entire home/apt,147,3,6,2022-03-24,0.81,1,234,6,,11216
31208,54113212,Cute & clean designed room well located @ Brooklyn,3603284,Carupano,Brooklyn,Bushwick,40.69181,-73.92612,Private room,59,2,8,2022-09-02,1.26,8,306,8,,11221
31214,54118066,Entire Garden Suite for Brooklyn Getaway,45101237,Meg,Brooklyn,Bushwick,40.68197,-73.90844,Entire home/apt,97,4,33,2022-09-03,4.07,1,222,33,,11207
31215,54120214,"Clinton Hill HDTV room, washer/dryer, rooftop #209",3223938,Eugene,Brooklyn,Bedford-Stuyvesant,40.68864,-73.9539,Private room,34,90,0,,,288,249,0,,11216
31216,54122536,Prime location!Cozy brownstone in Prospect Heights,91851098,Matthew,Brooklyn,Prospect Heights,40.67758,-73.96828,Entire home/apt,238,3,15,2022-08-14,2.17,2,46,15,,11238
31217,54122624,The cutest 1 bedroom apartment in prime location,33871880,Meital,Brooklyn,Williamsburg,40.711662,-73.963394,Entire home/apt,238,7,0,,,2,310,0,,11249
31221,54057437,Clean New Room.Clinton-Stuy.Walk to 22 eateries #1,408016532,Pharo,Brooklyn,Bedford-Stuyvesant,40.68847,-73.95522,Private room,70,1,17,2022-08-12,2.66,4,130,17,,11216
31222,54057539,Brooklyn unique loft,270554496,Mar,Brooklyn,Bedford-Stuyvesant,40.69209,-73.93439,Private room,400,1,1,2022-07-24,0.65,3,365,1,,11221
31225,54001874,NEW HOST SPECIAL - 5G Wifi - Private Queen bed,437534543,Kevin,Brooklyn,Bedford-Stuyvesant,40.68536,-73.93133,Private room,85,1,23,2022-09-01,4.83,3,54,23,,11221
31231,54003147,1min walk to train station to Manhattan,435273407,Barbara,Brooklyn,Borough Park,40.645077,-73.996399,Private room,101,1,11,2022-08-12,1.34,3,251,11,,11232
