,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
1772,2123079,Safe and Private Artist Loft Studio close to all,10577784,Julian,Queens,Astoria,40.76465,-73.92729,Entire home/apt,145,3,131,2022-08-16,1.55,1,18,12,,
1786,2236458,Cozy 1 Bdrm Astoria Apt - 18 min to Manhattan,11418277,Vanessa,Queens,Astoria,40.76276,-73.92137,Entire home/apt,65,8,2,2014-04-21,0.02,1,0,0,,
1788,2346416,Lovely private room close to Manhattan,11983859,Lauren,Queens,Astoria,40.763588,-73.925919,Private room,59,1,239,2022-08-13,2.31,1,22,37,,
1793,2349737,NYC Apt - Close to Metro & Mnhtn,11722972,Karen,Queens,Rego Park,40.73191,-73.86641,Entire home/apt,296,30,10,2020-02-29,0.1,1,280,0,,
1812,2371632,"Great 1 Br Apt, Ozone Park, NYC",10721506,Kumar,Queens,Ozone Park,40.67867,-73.84136,Entire home/apt,85,4,141,2022-08-20,1.38,1,86,7,,
1857,2260042,Clean and pleasant Room in NYC,11503864,Omar,Queens,Astoria,40.76619,-73.91724,Shared room,65,30,0,,,1,0,0,,
1874,2269104,"Sunny apartment -Train,Bus & St. John’s Uni",8568891,Sufia,Queens,Jamaica,40.71053,-73.79014,Entire home/apt,120,30,20,2022-04-14,0.2,1,357,2,,
1878,2164203,Luxury 1 Bed 20 Mins From Midtown Manhattan,11042893,Declan,Queens,Long Island City,40.75193377499219,-73.9236227678429,Entire home/apt,247,1,0,,,1,219,0,,
1896,2171821,Cool New 1br Apt - 1block from L&M,11079245,Florian / Anna,Queens,Ridgewood,40.70042,-73.9112,Private room,100,30,13,2019-05-08,0.13,1,340,0,,
1909,2467377,Centrally located in Bayside- Nice. FAST INTERNET.,7801481,Inez,Queens,Bay Terrace,40.78736,-73.77856,Private room,90,3,29,2022-05-31,0.41,2,232,5,,
1924,2477138,Private Room: The cheapest deal!!,9089934,Siddharth,Queens,Ozone Park,40.67948,-73.85335,Private room,30,30,0,,,1,0,0,,
1941,2298373,Luxury private apartment/Suite/with balcony,10149317,Lana,Queens,Rego Park,40.73068,-73.85823,Entire home/apt,152,7,94,2022-09-04,1.16,12,291,25,,
