,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
35265,647175001302142864,Lovely 700 sf 1BR Apt with a great natural light,44457353,Sam / Sahar,Manhattan,Upper East Side,40.78229,-73.95156,Entire home/apt,190,5,0,,,1,28,0,,10128
35266,645452818015403976,"Lovely 1 bedroom apartment in Harlem,NY",172287997,Jasmine,Manhattan,East Harlem,40.8131697,-73.93705539999999,Entire home/apt,250,2,0,,,1,357,0,,10037
35268,647196813060495589,Artist's Den in the Heart of NYC (34th st/5th ave),463759573,Ivas,Manhattan,Midtown,40.75374,-73.9905,Entire home/apt,198,1,12,2022-08-16,4.14,1,110,12,,10018
35270,644004911171065966,Upper east side townhouse with backyard,463027921,Sonia,Manhattan,East Harlem,40.7894305,-73.9499311,Private room,125,1,2,2022-06-26,0.8,4,349,2,,10029
35271,644029186590596846,Cozy apartment in the heart of NYC,85336401,Francesco,Manhattan,Hell's Kitchen,40.76559,-73.99234,Entire home/apt,309,5,2,2022-09-02,0.95,2,0,2,,10019
35272,644029441568437552,"Modern, Uplifting, and Spacious 3 Bedroom Home",284525920,Richard,Manhattan,Morningside Heights,40.80255,-73.96262,Entire home/apt,418,5,3,2022-07-23,1.03,1,16,3,,10025
35274,644053798396895113,Fenix Living • Spring St • Roomy No11 • 1-Bedroom,399865453,Fenix,Manhattan,Nolita,40.7214556,-73.9944242,Entire home/apt,189,30,0,,,10,305,0,,10012
35277,647231548594461115,Central Park/steps to Met One bedroom apartment,242152267,Andris,Manhattan,Upper East Side,40.77668,-73.95923,Entire home/apt,149,30,1,2022-07-13,0.53,9,306,1,,10028
35279,644084990266055467,Lovely bedroom rental in West Harlem,463052370,Mike,Manhattan,Harlem,40.8246781,-73.9527667,Private room,90,3,2,2022-06-29,0.79,1,308,2,,10031
35290,645670635245416455,Lovely Jr. 1 Bedroom in Soho,30115627,Desi,Manhattan,SoHo,40.72540730794617,-74.00291691268012,Entire home/apt,200,7,0,,,1,69,0,,10012
35291,645672351250915439,1BD/New York - Manhattan Condo near Grand Central!,263243483,Luxorts,Manhattan,Midtown,40.75374576048977,-73.9720009751793,Entire home/apt,600,3,0,,,2,4,0,,10035
35295,644202319559232710,Stunning apt! 74th just one block to Central Park!,428639770,Daniel,Manhattan,Upper West Side,40.77953,-73.97878,Entire home/apt,150,30,2,2022-08-31,2.0,5,302,2,,10023
35298,644228411368183732,Stunning 1 bedroom rental unit.,382471468,Ant,Manhattan,Hell's Kitchen,40.76635,-73.98966,Entire home/apt,275,2,4,2022-08-31,1.69,2,306,4,,10019
35301,645730142033290871,69-2D I Stylish Lower East Side 1BR Apt ~BRAND NEW,27181542,Jt,Manhattan,Lower East Side,40.71875,-73.98581,Entire home/apt,165,30,0,,,69,326,0,,10002
35303,645784917816443372,Prime shared room in Manhattan,403471033,Lightning,Manhattan,Upper East Side,40.77901,-73.94685,Shared room,87,2,1,2022-07-09,0.49,8,249,1,,10128
35305,645819491297280194,Luxury two bedroom apt with amazing views,132485563,Ali,Manhattan,Upper East Side,40.76907,-73.95158,Private room,170,7,6,2022-08-19,2.34,1,83,6,,10021
35306,645842123277866022,Central 2-bedroom Private Studio,81585173,Ali,Manhattan,Midtown,40.75619,-73.98192,Entire home/apt,240,2,3,2022-06-23,1.08,8,273,3,,10036
35313,644288061379383363,"Modern, bright 1-bedroom with rooftop in Manhattan",3817362,Malak,Manhattan,Hell's Kitchen,40.75739,-73.99361,Entire home/apt,320,1,0,,,1,14,0,,10018
35317,644365316106799161,Cozy Harlem Style Apartment,404575129,Rallie,Manhattan,East Harlem,40.7984413,-73.9385309,Private room,75,1,9,2022-09-03,3.38,1,295,9,,10035
35325,646115947890871926,"UES 2BR w/ Elevator, W/D & Roof, nr parks",107434423,Blueground,Manhattan,Lower East Side,40.71968,-73.98333,Entire home/apt,384,31,0,,,453,5,0,,10002
35326,646116286313431627,"Stunning Nolita 1BR w/ W/D, nr SoHo",107434423,Blueground,Manhattan,Nolita,40.7233685,-73.99467229999999,Entire home/apt,306,31,0,,,453,289,0,,10012
35327,646234869189160847,Lovely studio rental in Midtown West,50939513,Mario,Manhattan,Hell's Kitchen,40.76137,-73.99391,Entire home/apt,280,3,2,2022-08-12,0.82,1,37,2,,10036
35330,644408999215474165,Midcentury Designed Apartment in Luxury building,449377263,Deirdre,Manhattan,Hell's Kitchen,40.76568,-73.98893,Entire home/apt,548,5,10,2022-09-03,4.17,4,69,10,,10019
35333,644608008451518771,"Kips Bay 1BR w/ Elevator & W/D, nr MSQ Park & 6",107434423,Blueground,Manhattan,Kips Bay,40.74013,-73.98152,Entire home/apt,281,31,0,,,453,290,0,,10010
35334,647705805867409740,Lovely 1-bedroom in UES New York,463860904,Ivy,Manhattan,Upper East Side,40.77974,-73.95013,Entire home/apt,198,30,1,2022-08-08,1.0,1,228,1,,10128
35335,644660384714426164,Amazing Furnished 1BR! Central Park West!,392813993,Mark Ivan,Manhattan,Upper West Side,40.78385,-73.97394,Entire home/apt,292,1,1,2022-08-01,0.79,1,93,1,,10024
35338,644734029952924659,Lovely 3 BD/1 BA apartment in NoMad NYC,448326434,Boomerang,Manhattan,Midtown,40.7445,-73.98326,Entire home/apt,252,30,1,2022-08-18,1.0,35,297,1,,10016
35339,644755921284741861,Apartment Deluxe #5,177174475,Alberto Fernando,Manhattan,Midtown,40.74597,-73.98888,Entire home/apt,376,1,1,2022-06-20,0.37,8,42,1,,10001
35343,644845156231451666,Perfect East Village Studio Near Wash Sq Park,380601266,Jeremy,Manhattan,East Village,40.72594,-73.98794,Entire home/apt,145,90,0,,,25,309,0,,10003
35344,646238458032862897,"Huge, sunny 3 bed/3 bath apt right by Central Park",6802796,Rita,Manhattan,Harlem,40.80434,-73.95505,Entire home/apt,350,5,2,2022-07-05,0.79,1,93,2,,10026
35345,646246931568589723,2 bedrooms suite near Grand Central,359638834,Sarah,Manhattan,Murray Hill,40.74883,-73.97657,Private room,1100,1,0,,,11,365,0,,10016
35346,646255693260505603,Private Apartment / Shared Bathroom 815,401202937,Eliza,Manhattan,Midtown,40.74834,-73.98744,Private room,88,1,1,2022-08-14,1.0,51,57,1,,10001
35348,646290906877998095,"Deluxe 1 King Bed Hotel-Hudson Yard, New York",435938215,Hudson River,Manhattan,Chelsea,40.7542,-73.99852,Private room,280,1,2,2022-07-02,0.77,22,139,2,,10199
35350,647754438721915924,Charming Luxury Suite in New York City,447546305,Justin,Manhattan,Financial District,40.70544,-74.00973,Entire home/apt,799,7,1,2022-06-19,0.37,1,365,1,,10004
35356,644848237004670634,Luxurious 1 bd apartment in Downtown Manhattan,117710097,Sevket,Manhattan,Financial District,40.70824,-74.00625,Entire home/apt,500,30,0,,,1,341,0,,10038
35359,648587804094088553,Modern Wall St Studio w/ Home Office by Anyplace,415840703,Anyplace,Manhattan,Financial District,40.70568945522721,-74.00978972449886,Entire home/apt,234,30,1,2022-07-17,0.57,15,188,1,,10004
35360,648591321740101421,One bedroom in 3 bed walk up in East Village,4808450,Tony,Manhattan,East Village,40.72374,-73.98778,Private room,246,3,1,2022-08-13,1.0,1,361,1,,10009
35361,647797577220134956,"Location! Nolita 1-Bedroom, close to fun! Soho!",44853219,Alicia,Manhattan,Little Italy,40.71996803426882,-73.99698078632355,Entire home/apt,220,30,0,,,1,103,0,,10013
35364,648612556966047511,Private Room 5 mins walk to Train and Central Park,433494440,Mel,Manhattan,East Harlem,40.79057,-73.94446,Private room,118,28,3,2022-07-29,1.34,3,161,3,,10029
35378,647838187195786705,Modern Sanitized 1-bedroom w/ doorman & elevator,63311662,Brianna,Manhattan,Upper East Side,40.7659324,-73.955058,Entire home/apt,215,1,1,2022-08-28,1.0,1,0,1,,10021
35379,646419242705328494,Lovely 1-bedroom apartment in NYC,16649525,Carlos,Manhattan,Midtown,40.75615519999999,-73.9663633,Entire home/apt,450,5,0,,,1,116,0,,10022
35380,646422444789464175,Upper East Side Work From Home Studio,2867137,Avi,Manhattan,Upper East Side,40.7697,-73.95429,Entire home/apt,150,30,0,,,73,346,0,,10021
35385,648669342179626610,Unique spacious 3 bedrm LOFT (LES) NYC,462316797,Saryat,Manhattan,East Village,40.72413568316644,-73.98466144196412,Entire home/apt,763,2,5,2022-08-21,1.95,1,305,5,,10009
35389,646663033628393608,Large Loft - 2 Beds on St Marks Place,451952055,Dakota,Manhattan,East Village,40.72952,-73.98971,Entire home/apt,410,2,6,2022-07-28,2.14,1,320,6,,10003
35391,646777521386345259,Maravillosa Vista en piso 26,86847270,Luzmar,Manhattan,Harlem,40.81929,-73.95539,Private room,90,5,1,2022-08-16,1.0,2,315,1,,10027
35392,647870055226791780,New York Hotel Suite for 2,198653429,Home Sweet,Manhattan,Midtown,40.75066,-73.98412,Private room,1098,1,0,,,1,111,0,,10018
35394,646918408545107449,Lovely Two Bedroom with Rare Large Private Garden,123066627,Zare,Manhattan,Upper East Side,40.78238034717379,-73.95359100536518,Entire home/apt,143,3,4,2022-08-28,3.08,1,254,4,,10128
35397,646982191237619856,UES townhouse with backyard and grill!,463027921,Sonia,Manhattan,East Harlem,40.78823424504738,-73.9490799033369,Private room,125,1,4,2022-09-05,2.18,4,296,4,,10029
35398,646982884326196199,Bedroom with double bed and private bathroom,463027921,Sonia,Manhattan,East Harlem,40.78954302994513,-73.94975412636995,Private room,125,1,6,2022-09-05,2.07,4,297,6,,10029
35401,647103115258222776,Cosy 2 BR's ~Prime location Saint Marks Place~NYU,143882962,Sean,Manhattan,East Village,40.72999,-73.98794,Entire home/apt,229,30,1,2022-08-11,1.0,6,335,1,,10003
35402,649880048973005506,Divine writer’s studio in Greenwich Village,29497388,Derek + Mona,Manhattan,West Village,40.7332373791529,-74.00143725585697,Entire home/apt,316,3,3,2022-08-22,1.61,1,5,3,,10014
35406,647871864272863224,Chelsea elegant two bedrooms private apartment,358288637,Sameer,Manhattan,Chelsea,40.75041,-73.99823,Entire home/apt,481,2,6,2022-08-28,2.43,1,294,6,,10001
35409,647898891374727957,Spacious and Modern 1-Bedroom Apartment,37079635,Yassine,Manhattan,Chelsea,40.75166,-73.99548,Entire home/apt,350,30,1,2022-08-06,0.91,1,87,1,,10199
35410,648732550651285115,COZY APARTMENT WITH A VIEW OF CITY COLLEGE,300100179,Nelsi,Manhattan,Harlem,40.81814,-73.9512,Entire home/apt,157,2,8,2022-09-04,4.53,1,277,8,,10031
35411,649900405599945791,The Blakely Hotel 2 Queen Beds Suite Room,464389822,The Blakely,Manhattan,Midtown,40.76384,-73.98096,Private room,112,1,0,,,6,276,0,,10019
