Latitude: 40.8159, Longitude: -73.86486

Latitude: 40.87553, Longitude: -73.88601

Latitude: 40.8362, Longitude: -73.9117

Latitude: 40.83451, Longitude: -73.91881

Latitude: 40.90194, Longitude: -73.84236

Latitude: 40.86441, Longitude: -73.84284

Latitude: 40.80756, Longitude: -73.92264

Latitude: 40.82504, Longitude: -73.92749

Latitude: 40.85271, Longitude: -73.8676

Latitude: 40.83295, Longitude: -73.85926

Latitude: 40.82502, Longitude: -73.86046

Latitude: 40.81701, Longitude: -73.86159

Latitude: 40.87808, Longitude: -73.90334

Latitude: 40.82957, Longitude: -73.90353

Latitude: 40.81079, Longitude: -73.92121

Latitude: 40.83129, Longitude: -73.92021

Latitude: 40.82921, Longitude: -73.88027

Latitude: 40.81167, Longitude: -73.9248

Latitude: 40.88495, Longitude: -73.90884

Latitude: 40.84581, Longitude: -73.84008

Latitude: 40.87305, Longitude: -73.8999

Latitude: 40.82716, Longitude: -73.88204

Latitude: 40.80229, Longitude: -73.91363

Latitude: 40.80945, Longitude: -73.92007

Latitude: 40.82339, Longitude: -73.91425

Latitude: 40.87469, Longitude: -73.90169

Latitude: 40.8429, Longitude: -73.8638

Latitude: 40.88388, Longitude: -73.89951

Latitude: 40.80886, Longitude: -73.9285

Latitude: 40.86006, Longitude: -73.83662

Latitude: 40.8316, Longitude: -73.91538

Latitude: 40.82221, Longitude: -73.90325

Latitude: 40.8787, Longitude: -73.87111

Latitude: 40.85722, Longitude: -73.83734

Latitude: 40.82185, Longitude: -73.92841

Latitude: 40.88105, Longitude: -73.86026

Latitude: 40.87901, Longitude: -73.86221

Latitude: 40.89866, Longitude: -73.8627

Latitude: 40.82871, Longitude: -73.8873

Latitude: 40.85071, Longitude: -73.90241

Latitude: 40.85534, Longitude: -73.89733

Latitude: 40.86384, Longitude: -73.86364

Latitude: 40.87469, Longitude: -73.88456

Latitude: 40.8524, Longitude: -73.83435

Latitude: 40.83029606181912, Longitude: -73.91861729316344

Latitude: 40.85604, Longitude: -73.90403

Latitude: 40.87157, Longitude: -73.86017

Latitude: 40.82299, Longitude: -73.92656

Latitude: 40.84518, Longitude: -73.84677

Latitude: 40.88093, Longitude: -73.86187

Latitude: 40.869, Longitude: -73.89349

Latitude: 40.87858, Longitude: -73.87154

Latitude: 40.9002, Longitude: -73.86447

Latitude: 40.88236, Longitude: -73.91129

Latitude: 40.82274, Longitude: -73.91353

Latitude: 40.81015, Longitude: -73.92025

Latitude: 40.83273, Longitude: -73.922

Latitude: 40.8667, Longitude: -73.84154

Latitude: 40.82054, Longitude: -73.92798

Latitude: 40.89638, Longitude: -73.85118

Latitude: 40.83206, Longitude: -73.92134

Latitude: 40.8241, Longitude: -73.88877

Latitude: 40.8308, Longitude: -73.9162

Latitude: 40.89833, Longitude: -73.84949

Latitude: 40.81059, Longitude: -73.91966

Latitude: 40.88677, Longitude: -73.83542

Latitude: 40.84449, Longitude: -73.84875

Latitude: 40.86754, Longitude: -73.85472

Latitude: 40.83718, Longitude: -73.85631

Latitude: 40.86873, Longitude: -73.88584

Latitude: 40.81512, Longitude: -73.90035

Latitude: 40.86673, Longitude: -73.84074

Latitude: 40.81541, Longitude: -73.90144

Latitude: 40.90341, Longitude: -73.90199

Latitude: 40.89124, Longitude: -73.84144

Latitude: 40.80999, Longitude: -73.91171

Latitude: 40.85496, Longitude: -73.82958

Latitude: 40.8605, Longitude: -73.83927

Latitude: 40.879, Longitude: -73.90223

Latitude: 40.8292, Longitude: -73.9093

Latitude: 40.89077, Longitude: -73.83536

Latitude: 40.85774, Longitude: -73.88451

Latitude: 40.8215, Longitude: -73.83645

Latitude: 40.84121, Longitude: -73.82513

Latitude: 40.85612, Longitude: -73.88255

Latitude: 40.87232, Longitude: -73.84146

Latitude: 40.83053, Longitude: -73.92059

Latitude: 40.84791, Longitude: -73.78833

Latitude: 40.81323, Longitude: -73.85321

Latitude: 40.81185, Longitude: -73.85336

Latitude: 40.86697, Longitude: -73.86696

Latitude: 40.86105, Longitude: -73.84443

Latitude: 40.84819, Longitude: -73.91414

Latitude: 40.83674, Longitude: -73.85827

Latitude: 40.8615, Longitude: -73.83775

Latitude: 40.82053, Longitude: -73.92701

Latitude: 40.8321, Longitude: -73.92295

Latitude: 40.85408, Longitude: -73.85034

Latitude: 40.83056, Longitude: -73.92105

Latitude: 40.82495, Longitude: -73.90309

Latitude: 40.88686, Longitude: -73.83516

Latitude: 40.83038, Longitude: -73.90071

Latitude: 40.89177, Longitude: -73.84769

Latitude: 40.81358, Longitude: -73.91887

Latitude: 40.8832, Longitude: -73.84352

Latitude: 40.81856, Longitude: -73.90617

Latitude: 40.8693, Longitude: -73.85644

Latitude: 40.81933, Longitude: -73.89993

Latitude: 40.87941, Longitude: -73.84292

Latitude: 40.80971, Longitude: -73.92542

Latitude: 40.87751, Longitude: -73.84343

Latitude: 40.86971, Longitude: -73.85816

Latitude: 40.80656, Longitude: -73.91654

Latitude: 40.85322, Longitude: -73.85232

Latitude: 40.83603, Longitude: -73.83328

Latitude: 40.88825, Longitude: -73.85908

Latitude: 40.80964, Longitude: -73.92174

Latitude: 40.82372, Longitude: -73.92623

Latitude: 40.85431, Longitude: -73.88679

Latitude: 40.89216, Longitude: -73.84247

Latitude: 40.81276, Longitude: -73.90272

Latitude: 40.84053, Longitude: -73.86985

Latitude: 40.85587, Longitude: -73.83041

Latitude: 40.8522, Longitude: -73.85009

Latitude: 40.85025, Longitude: -73.86089

Latitude: 40.84825, Longitude: -73.79012

Latitude: 40.87816, Longitude: -73.86414

Latitude: 40.89399, Longitude: -73.85224

Latitude: 40.80912, Longitude: -73.93095

Latitude: 40.81197, Longitude: -73.88926

Latitude: 40.80983, Longitude: -73.92184

Latitude: 40.82124, Longitude: -73.92913

Latitude: 40.80895, Longitude: -73.85074

Latitude: 40.84938, Longitude: -73.88971

Latitude: 40.88309, Longitude: -73.85824

Latitude: 40.85995, Longitude: -73.86234

Latitude: 40.8868, Longitude: -73.83529

Latitude: 40.81965, Longitude: -73.88004

Latitude: 40.89392, Longitude: -73.84427

Latitude: 40.89402, Longitude: -73.84437

Latitude: 40.83865, Longitude: -73.87186

Latitude: 40.84509, Longitude: -73.83223

Latitude: 40.87005, Longitude: -73.84729

Latitude: 40.85565, Longitude: -73.90143

Latitude: 40.86347, Longitude: -73.84128

Latitude: 40.83502, Longitude: -73.91814

