,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
23585,45705785,Chateau Estate in New York City,61292179,Roni,Bronx,Riverdale,40.89802,-73.91187,Entire home/apt,2000,10,0,,,1,173,0,,
23662,46109966,Entire Parlor Floor Apt in a Beautiful Brownstone,125687221,Tee,Bronx,Hunts Point,40.81387,-73.8968,Private room,105,30,0,,,2,0,0,,
23664,45866866,Chez Boogie Down,284207,Megan,Bronx,Port Morris,40.80851,-73.93008,Entire home/apt,90,2,1,2020-11-09,0.04,1,0,0,,
23691,46013470,Cozy room . 4/20 friendly,337615993,Zaydee Ann,Bronx,Fordham,40.86432,-73.89182,Private room,45,1,0,,,1,0,0,,
23728,46158013,"Modern, cozy room in historical home with backyard",1024891,Leana,Bronx,Hunts Point,40.8187,-73.88927,Private room,42,14,8,2022-01-02,0.61,4,0,6,,
23741,46158284,Cozy 2 bedroom Modern Private House,366800813,Desphie,Bronx,Williamsbridge,40.87638,-73.86162,Entire home/apt,130,1,122,2022-08-29,5.45,1,362,54,,
23749,46171697,MedRoom 315-2B,267272502,Orfelina,Bronx,Claremont Village,40.84356,-73.90556,Private room,65,5,1,2021-06-30,0.07,28,310,0,,
23805,46211541,Private room in 2 bedroom apt.,29857291,Mikhail,Bronx,Spuyten Duyvil,40.8807,-73.91482,Private room,29,60,0,,,1,0,0,,
23820,46056385,Private Room for rent,190915917,Demetrio,Bronx,Fieldston,40.8945,-73.8987,Private room,72,1,4,2022-08-27,0.92,3,329,4,,
23824,46236500,"Modern,  Central,New York Home W/Parking & Netflix",25687903,Jennifer,Bronx,Morris Park,40.85222,-73.85859,Entire home/apt,201,4,29,2022-08-09,1.57,2,138,22,,
23865,46274465,Room ready to go,88387391,Guadalupe,Bronx,Edenwald,40.88885,-73.84536,Private room,69,4,0,,,1,0,0,,
23878,46275383,Cozy Apartment!,107090124,Ed,Bronx,Belmont,40.85402,-73.88209,Entire home/apt,131,2,44,2022-08-30,1.99,1,49,26,,
