Latitude: 40.61785, Longitude: -74.1352

Latitude: 40.53887, Longitude: -74.14247

Latitude: 40.6237, Longitude: -74.07517

Latitude: 40.63383, Longitude: -74.08373

Latitude: 40.60787, Longitude: -74.09033

Latitude: 40.61169, Longitude: -74.08928

Latitude: 40.64142, Longitude: -74.08346

Latitude: 40.63164, Longitude: -74.13201

Latitude: 40.63442, Longitude: -74.08708

Latitude: 40.63133, Longitude: -74.0912

Latitude: 40.63235, Longitude: -74.09291

Latitude: 40.63313, Longitude: -74.09093

Latitude: 40.63876, Longitude: -74.12414

Latitude: 40.62645, Longitude: -74.07967

Latitude: 40.58731, Longitude: -74.07161

Latitude: 40.60442, Longitude: -74.0688

Latitude: 40.63133, Longitude: -74.09559

Latitude: 40.63363, Longitude: -74.09242

Latitude: 40.6318, Longitude: -74.09272

Latitude: 40.63741, Longitude: -74.08474

Latitude: 40.57955, Longitude: -74.11033

Latitude: 40.63371, Longitude: -74.0928

Latitude: 40.63711, Longitude: -74.1694

Latitude: 40.53138, Longitude: -74.19113

Latitude: 40.57973, Longitude: -74.11029

Latitude: 40.64041, Longitude: -74.08834

Latitude: 40.58541, Longitude: -74.07033

Latitude: 40.58325, Longitude: -74.15221

Latitude: 40.6367, Longitude: -74.15344

Latitude: 40.575172, Longitude: -74.092789

Latitude: 40.573452, Longitude: -74.088165

Latitude: 40.59116, Longitude: -74.1858

Latitude: 40.62837, Longitude: -74.08608

Latitude: 40.62988, Longitude: -74.08639

Latitude: 40.639664, Longitude: -74.088959

Latitude: 40.63525, Longitude: -74.09086

Latitude: 40.61126, Longitude: -74.06789

Latitude: 40.63488, Longitude: -74.08711

Latitude: 40.56434, Longitude: -74.18373

Latitude: 40.63064, Longitude: -74.08179

Latitude: 40.55966, Longitude: -74.11788

Latitude: 40.55893, Longitude: -74.12009

Latitude: 40.61717, Longitude: -74.07848

Latitude: 40.63276, Longitude: -74.10573

Latitude: 40.55901, Longitude: -74.11982

Latitude: 40.58239, Longitude: -74.10838

Latitude: 40.56082, Longitude: -74.11994

Latitude: 40.55922, Longitude: -74.11809

Latitude: 40.64349, Longitude: -74.09291

Latitude: 40.63259, Longitude: -74.1058

Latitude: 40.59989, Longitude: -74.10771

Latitude: 40.62723, Longitude: -74.08004

Latitude: 40.6204, Longitude: -74.15343

Latitude: 40.64008847449263, Longitude: -74.08743133419358

Latitude: 40.62613, Longitude: -74.07805

Latitude: 40.61616, Longitude: -74.06902

Latitude: 40.62636, Longitude: -74.07984

Latitude: 40.5775, Longitude: -74.11024

Latitude: 40.63476, Longitude: -74.16903

Latitude: 40.58013, Longitude: -74.10032

Latitude: 40.62151, Longitude: -74.08483

Latitude: 40.62575, Longitude: -74.1195

Latitude: 40.59598, Longitude: -74.18478

Latitude: 40.53777, Longitude: -74.20674

Latitude: 40.62619, Longitude: -74.07717

Latitude: 40.64458, Longitude: -74.08005

Latitude: 40.61264, Longitude: -74.15086

Latitude: 40.58308, Longitude: -74.09337

Latitude: 40.606396, Longitude: -74.067902

Latitude: 40.6154, Longitude: -74.11354

Latitude: 40.63042, Longitude: -74.10299

Latitude: 40.61944, Longitude: -74.08612

Latitude: 40.58403, Longitude: -74.08889

Latitude: 40.64015, Longitude: -74.1697

Latitude: 40.63856, Longitude: -74.16957

Latitude: 40.63491, Longitude: -74.11408

Latitude: 40.63352, Longitude: -74.11503

Latitude: 40.63453, Longitude: -74.11554

Latitude: 40.63118, Longitude: -74.0849

Latitude: 40.50456, Longitude: -74.24984

Latitude: 40.6137, Longitude: -74.06728

Latitude: 40.60531, Longitude: -74.0827

Latitude: 40.52224, Longitude: -74.20739

Latitude: 40.63341, Longitude: -74.09208

Latitude: 40.63318, Longitude: -74.09585

Latitude: 40.63006, Longitude: -74.13708

Latitude: 40.57583, Longitude: -74.12923

Latitude: 40.647, Longitude: -74.0841

Latitude: 40.63462092453782, Longitude: -74.11359274145003

Latitude: 40.62926449327124, Longitude: -74.11738104053987

Latitude: 40.64075, Longitude: -74.08378

Latitude: 40.59139, Longitude: -74.07612

Latitude: 40.59256, Longitude: -74.06463

Latitude: 40.62866, Longitude: -74.14578

Latitude: 40.63704, Longitude: -74.08617

Latitude: 40.54335, Longitude: -74.16679

Latitude: 40.63052, Longitude: -74.10387

Latitude: 40.62556, Longitude: -74.08606

Latitude: 40.63113, Longitude: -74.11905

Latitude: 40.638966, Longitude: -74.0802

Latitude: 40.62845, Longitude: -74.13723

Latitude: 40.62891, Longitude: -74.13727

Latitude: 40.57764, Longitude: -74.10895

Latitude: 40.61887, Longitude: -74.14987

Latitude: 40.6292, Longitude: -74.15808

Latitude: 40.6291, Longitude: -74.15966

Latitude: 40.64463, Longitude: -74.08004

Latitude: 40.62573, Longitude: -74.08415

Latitude: 40.63204, Longitude: -74.09754

Latitude: 40.64096, Longitude: -74.08665

Latitude: 40.59377, Longitude: -74.07712

Latitude: 40.62561, Longitude: -74.16863

Latitude: 40.5966, Longitude: -74.08434

Latitude: 40.59615, Longitude: -74.08219

Latitude: 40.59676, Longitude: -74.06472

Latitude: 40.64117, Longitude: -74.16844

Latitude: 40.63711, Longitude: -74.08768

Latitude: 40.54518, Longitude: -74.15356

Latitude: 40.604679, Longitude: -74.093307

Latitude: 40.6022, Longitude: -74.10133

Latitude: 40.607, Longitude: -74.0886

Latitude: 40.62993, Longitude: -74.08069

Latitude: 40.63736, Longitude: -74.08155

Latitude: 40.57409, Longitude: -74.09232

Latitude: 40.63109538863847, Longitude: -74.15736770699648

Latitude: 40.62557, Longitude: -74.0835

Latitude: 40.62967, Longitude: -74.08457

Latitude: 40.52498, Longitude: -74.21514

Latitude: 40.630226, Longitude: -74.081734

Latitude: 40.64358, Longitude: -74.08285

Latitude: 40.6359, Longitude: -74.07963

Latitude: 40.63708, Longitude: -74.16759

Latitude: 40.63799, Longitude: -74.16949

Latitude: 40.63166, Longitude: -74.09488

Latitude: 40.6382, Longitude: -74.16913

Latitude: 40.60205, Longitude: -74.07389

Latitude: 40.58692037381656, Longitude: -74.08887917690643

Latitude: 40.58379188991727, Longitude: -74.10699461705279

Latitude: 40.64615091606886, Longitude: -74.08182946149103

Latitude: 40.59224, Longitude: -74.06806

Latitude: 40.6367341, Longitude: -74.0766671

Latitude: 40.50031443485432, Longitude: -74.23913564532995

Latitude: 40.63438946827837, Longitude: -74.08924284780458

Latitude: 40.56384902051308, Longitude: -74.09874350097706

Latitude: 40.549946000713526, Longitude: -74.16788571182833

Latitude: 40.63496667960433, Longitude: -74.11394818858345

Latitude: 40.63436488827763, Longitude: -74.1155018019064

Latitude: 40.634860792609885, Longitude: -74.11427005781908

