
Latitude: 40.76348, Longitude: -73.91995

Latitude: 40.70837, Longitude: -73.83065

Latitude: 40.74395, Longitude: -73.89418

Latitude: 40.70646, Longitude: -73.90406

Latitude: 40.7458, Longitude: -73.94441

Latitude: 40.69118, Longitude: -73.7853

Latitude: 40.75852, Longitude: -73.92606

Latitude: 40.71754, Longitude: -73.85141

Latitude: 40.77774, Longitude: -73.90723

Latitude: 40.75486, Longitude: -73.91782

Latitude: 40.7655, Longitude: -73.86577

Latitude: 40.75871, Longitude: -73.91112

Latitude: 40.75164, Longitude: -73.93655

Latitude: 40.76578, Longitude: -73.91244

Latitude: 40.75819, Longitude: -73.911

Latitude: 40.6849, Longitude: -73.75854

Latitude: 40.76321, Longitude: -73.91679

Latitude: 40.74199, Longitude: -73.95854

Latitude: 40.74907550848057, Longitude: -73.94319675869714

Latitude: 40.75921, Longitude: -73.8758

Latitude: 40.76764, Longitude: -73.92034

Latitude: 40.73564, Longitude: -73.87221

Latitude: 40.76474, Longitude: -73.9272

Latitude: 40.77833, Longitude: -73.91861

Latitude: 40.77203, Longitude: -73.93145

Latitude: 40.74791, Longitude: -73.80966

Latitude: 40.75228, Longitude: -73.93876

Latitude: 40.67261, Longitude: -73.75254

Latitude: 40.75508, Longitude: -73.92918

Latitude: 40.72637, Longitude: -73.85621

Latitude: 40.76603, Longitude: -73.77133

Latitude: 40.77152, Longitude: -73.92198

Latitude: 40.78247, Longitude: -73.91595

Latitude: 40.7573, Longitude: -73.92773

Latitude: 40.73005, Longitude: -73.85858

Latitude: 40.7472, Longitude: -73.9154

Latitude: 40.7792, Longitude: -73.90747

Latitude: 40.754, Longitude: -73.91872

Latitude: 40.76297, Longitude: -73.92696

Latitude: 40.7562, Longitude: -73.91162

Latitude: 40.73959, Longitude: -73.91912

Latitude: 40.77772, Longitude: -73.92252

Latitude: 40.75834, Longitude: -73.91284

Latitude: 40.58957, Longitude: -73.79093

Latitude: 40.75653, Longitude: -73.92515

Latitude: 40.76455, Longitude: -73.91398

Latitude: 40.72212, Longitude: -73.88813

Latitude: 40.7372, Longitude: -73.87909

Latitude: 40.70877, Longitude: -73.90169

Latitude: 40.74404, Longitude: -73.95629

Latitude: 40.70563, Longitude: -73.80523

Latitude: 40.73477, Longitude: -73.87805

Latitude: 40.74447, Longitude: -73.92547

Latitude: 40.76422, Longitude: -73.93169

Latitude: 40.75727, Longitude: -73.89305

Latitude: 40.75586, Longitude: -73.91627

Latitude: 40.7688, Longitude: -73.9093

Latitude: 40.7602, Longitude: -73.92415

Latitude: 40.74513, Longitude: -73.92346

Latitude: 40.75608, Longitude: -73.93483

Latitude: 40.7725, Longitude: -73.92719

Latitude: 40.74205, Longitude: -73.787

Latitude: 40.72291, Longitude: -73.90931

Latitude: 40.75545, Longitude: -73.8643

Latitude: 40.75363, Longitude: -73.93463

Latitude: 40.75572, Longitude: -73.86453

Latitude: 40.75695, Longitude: -73.91854

Latitude: 40.75921, Longitude: -73.8758

Latitude: 40.73591, Longitude: -73.92603

Latitude: 40.73351, Longitude: -73.71299

Latitude: 40.76211, Longitude: -73.92894

Latitude: 40.65697, Longitude: -73.83344

Latitude: 40.66985, Longitude: -73.7766

Latitude: 40.76676, Longitude: -73.91276

Latitude: 40.76477, Longitude: -73.91517

Latitude: 40.74836, Longitude: -73.9133

Latitude: 40.69566, Longitude: -73.83248

Latitude: 40.74638, Longitude: -73.95618

Latitude: 40.69912, Longitude: -73.78687

Latitude: 40.7452, Longitude: -73.89086

Latitude: 40.76695, Longitude: -73.91098

Latitude: 40.76271, Longitude: -73.91208

Latitude: 40.7579, Longitude: -73.9303

Latitude: 40.76254, Longitude: -73.92297

Latitude: 40.76707, Longitude: -73.91397

Latitude: 40.77521, Longitude: -73.91635

Latitude: 40.74582, Longitude: -73.83153

Latitude: 40.76534, Longitude: -73.91944

Latitude: 40.74789, Longitude: -73.90604

Latitude: 40.7444, Longitude: -73.92585

Latitude: 40.70922, Longitude: -73.90278

Latitude: 40.76302, Longitude: -73.92144

Latitude: 40.76975, Longitude: -73.91937

Latitude: 40.71869, Longitude: -73.75395

Latitude: 40.74066, Longitude: -73.87758

Latitude: 40.76691, Longitude: -73.91758

Latitude: 40.67114, Longitude: -73.74758

Latitude: 40.7574, Longitude: -73.92613

Latitude: 40.74427, Longitude: -73.83192

Latitude: 40.75782, Longitude: -73.92262

Latitude: 40.71486, Longitude: -73.74774

Latitude: 40.74689, Longitude: -73.88779

Latitude: 40.7677, Longitude: -73.92466

Latitude: 40.76808, Longitude: -73.9246

Latitude: 40.71372, Longitude: -73.83693

Latitude: 40.75951, Longitude: -73.92091

Latitude: 40.75166, Longitude: -73.89305

Latitude: 40.7598, Longitude: -73.9224

Latitude: 40.76795, Longitude: -73.92312

Latitude: 40.76777, Longitude: -73.92343

Latitude: 40.7686, Longitude: -73.92505

Latitude: 40.74084, Longitude: -73.88995

Latitude: 40.7637, Longitude: -73.91979

Latitude: 40.72643, Longitude: -73.82879

Latitude: 40.75855, Longitude: -73.91021

